datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body;podil_zachycen_hosp;podil_zachycen_hosp_body;podil_zachycen_hosp_roste;podil_zachycen_hosp_roste_body
2020-10-01;2020-09-30;52;277.888429100000;13;143.259439500000;10;1;2;1.017210445876;10;0.152966804564;15;1;2;;;;
2020-10-02;2020-10-01;52;281.420552800000;13;153.498875500000;10;1;2;1.061394728061;10;0.157629755899;15;1;2;;;;
2020-10-03;2020-10-02;52;297.184290000000;13;168.464205000000;10;1;2;1.094668757350;10;0.163739775425;15;1;2;;;;
2020-10-04;2020-10-03;52;301.940509500000;13;179.259628500000;10;1;2;1.146562562032;10;0.167603277007;15;1;2;;;;
2020-10-05;2020-10-04;57;309.948525300000;13;186.858124000000;10;1;2;1.216230936819;15;0.174917750274;15;1;2;;;;
2020-10-06;2020-10-05;57;325.282427300000;13;206.132356500000;10;1;2;1.286778155212;15;0.182718797829;15;1;2;;;;
2020-10-07;2020-10-06;62;344.634353700000;13;222.348657800000;10;1;2;1.395410248349;15;0.193668301366;20;1;2;;;;
2020-10-08;2020-10-07;70;372.956752800000;13;245.190476600000;13;1;2;1.468516860638;20;0.206909020577;20;1;2;;;;
2020-10-09;2020-10-08;70;396.205228300000;13;264.094050800000;13;1;2;1.529085872576;20;0.217086020007;20;1;2;;;;
2020-10-10;2020-10-09;80;449.215116300000;13;300.696559600000;13;1;2;1.753190774742;25;0.246044465393;25;1;2;;;;
2020-10-11;2020-10-10;80;474.033424500000;13;319.275807700000;13;1;2;1.695705147730;25;0.255296707328;25;1;2;;;;
2020-10-12;2020-10-11;78;490.843716800000;16;335.445776800000;13;1;2;1.561908623952;20;0.257609761897;25;1;2;;;;
2020-10-13;2020-10-12;78;519.091362100000;16;359.955558000000;13;1;2;1.457183499288;20;0.259409321776;25;1;2;;;;
2020-10-14;2020-10-13;83;578.539433200000;16;401.515621800000;13;1;2;1.499094202898;20;0.272246859085;30;1;2;;;;
2020-10-15;2020-10-14;83;640.388974600000;16;441.824713800000;13;1;2;1.402599061272;20;0.281929504787;30;1;2;;;;
2020-10-16;2020-10-15;83;698.519507500000;16;477.222583000000;13;1;2;1.444763786599;20;0.292506409829;30;1;2;;;;
2020-10-17;2020-10-16;86;766.816576300000;16;521.052929000000;16;1;2;1.463839607673;20;0.289988913398;30;1;2;;;;
2020-10-18;2020-10-17;86;824.367766200000;16;559.091738800000;16;1;2;1.528978635577;20;0.295868526864;30;1;2;;;;
2020-10-19;2020-10-18;86;854.437538700000;16;582.489545100000;16;1;2;1.429380664652;20;0.298197422187;30;1;2;;;;
2020-10-20;2020-10-19;81;900.775637500000;16;614.134498900000;16;1;2;1.378278091422;15;0.304840593720;30;1;2;;;;
2020-10-21;2020-10-20;85;971.109751200000;20;665.239014300000;16;1;2;1.330473703841;15;0.310380833599;30;1;2;;;;
2020-10-22;2020-10-21;85;1061.141528100000;20;727.741273000000;16;1;2;1.372241053129;15;0.321750862909;30;1;2;;;;
2020-10-23;2020-10-22;85;1143.006437100000;20;785.424973600000;16;1;2;1.351039766508;15;0.327356143010;30;1;2;;;;
2020-10-24;2020-10-23;85;1204.958765200000;20;835.417514100000;16;1;2;1.377507705856;15;0.336781183522;30;1;2;;;;
2020-10-25;2020-10-24;85;1278.180249800000;20;889.811622100000;16;1;2;1.353835989759;15;0.339392333363;30;1;2;;;;
2020-10-26;2020-10-25;85;1317.388691600000;20;920.900588500000;16;1;2;1.311544092452;15;0.342885878439;30;1;2;;;;
