name,id,route,updated_at,latitude,longitude,direction_id,direction_name
Anděl (Plzeňská),camea-BC_AL-STPL,A14,2025-07-24T13:30:01.517Z,50.0718897,14.3986383,camea-BC_AL-ST,Štefánikova (centrum)
Anděl (Plzeňská),camea-BC_AL-STPL,A14,2025-07-24T13:30:01.517Z,50.0718897,14.3986383,camea-BC_AL-PL,Plzeňská (z centra)
Atletická,camea-BC_AT-STLA,A140,2025-07-24T13:30:01.517Z,50.0793736,14.3785794,camea-BC_AT-LA,Ladronka
Atletická,camea-BC_AT-STLA,A140,2025-07-24T13:30:01.517Z,50.0793736,14.3785794,camea-BC_AT-ST,Strahov
Barrandovský most,camea-BC_BS-BMZL,A 12,2025-07-24T13:30:01.517Z,50.0420991,14.407247,camea-BC_BS-ZL,Zlíchov
Barrandovský most,camea-BC_BS-BMZL,A 12,2025-07-24T13:30:01.517Z,50.0420991,14.407247,camea-BC_BS-BM,Barrandovský most
Chodov,camea-BC_CB-CHTU,A 22,2025-07-24T13:30:01.517Z,50.031113,14.492876,camea-BC_CB-CH,Chodov centrum
Chodov,camea-BC_CB-CHTU,A 22,2025-07-24T13:30:01.517Z,50.031113,14.492876,camea-LO_CB-TU,ul. Türkova
U Českých loděnic,camea-BC_CL-PVLI,A2,2025-07-24T13:30:01.517Z,50.1135103,14.4581003,camea-BC_CL-PV,Povltavská
U Českých loděnic,camea-BC_CL-PVLI,A2,2025-07-24T13:30:01.517Z,50.1135103,14.4581003,camea-BC_CL-LI,Libeň
Celetná,camea-BC_CT-OTPB,A 1,2025-07-24T13:30:01.517Z,50.087262,14.425974,camea-BC_CT-OT,Ovocný trh
Celetná,camea-BC_CT-OTPB,A 1,2025-07-24T13:30:01.517Z,50.087262,14.425974,camea-BC_CT-PB,Prašná brána
Divoká Šárka,camea-BC_DE-EVSA,A 33,2025-07-24T13:30:01.517Z,50.093562,14.320898,camea-LO_DE-SA,Šárka
Divoká Šárka,camea-BC_DE-EVSA,A 33,2025-07-24T13:30:01.517Z,50.093562,14.320898,camea-LO_DE-EV,ul. Evropská
Dukelských hrdinů,camea-BC_DS-KJVL,A 310,2025-07-24T13:30:01.517Z,50.0973149,14.432982,camea-BC_DS-KJ,centrum
Dukelských hrdinů,camea-BC_DS-KJVL,A 310,2025-07-24T13:30:01.517Z,50.0973149,14.432982,camea-BC_DS-VL,z centra
Dubeč,camea-BC_DU-KRST,A 24,2025-07-24T13:30:01.517Z,50.059714879868,14.594435691833,camea-DU-ST,Štěrboholy (Běchovice)
Dubeč,camea-BC_DU-KRST,A 24,2025-07-24T13:30:01.517Z,50.059714879868,14.594435691833,camea-DU-KR,Uhříněves (Netluky)
Elsnicovo náměstí x U Českých loděnic,camea-BC_EU-KTOT,A 2,2025-07-24T13:30:01.517Z,50.106999,14.470749,camea-BC_EU-KT,k Thomayerovým sadům
Elsnicovo náměstí x U Českých loděnic,camea-BC_EU-KTOT,A 2,2025-07-24T13:30:01.517Z,50.106999,14.470749,camea-BC_EU-OT,od Thomayerových sadů
Hybernská,camea-BC_HY-WINP,A25,2025-07-24T13:30:01.517Z,50.0872642,14.4344272,camea-BC_HY-NP,Na Příkopě
Hybernská,camea-BC_HY-WINP,A25,2025-07-24T13:30:01.517Z,50.0872642,14.4344272,camea-BC_HY-WI,Wilsonova
Hlubočepská,camea-BC_HZ-CE,A 12,2025-07-24T13:30:01.517Z,50.040233,14.403657,camea-BC_HZ-CE,centrum
Hlubočepská,camea-BC_HZ-CE,A 12,2025-07-24T13:30:01.517Z,50.040233,14.403657,camea-BC_HZ-HL,Hlubočepy
Jeremenkova,camea-BC_JG-PNPC,A 221,2025-07-24T13:30:01.517Z,50.046196,14.417109,camea-BC_JG-PC,Pankrác
Jeremenkova,camea-BC_JG-PNPC,A 221,2025-07-24T13:30:01.517Z,50.046196,14.417109,camea-BC_JG-PN,Podolské nábřeží
Kampa,camea-BC_KA-KMML,A1,2025-07-24T13:30:01.517Z,50.08312,14.4077472,camea-BC_KA-KM,Karlův most
Kampa,camea-BC_KA-KMML,A1,2025-07-24T13:30:01.517Z,50.08312,14.4077472,camea-BC_KA-ML,most Legií
Nábřeží Kapitána Jaroše,camea-BC_KJ-HRHO,A 1,2025-07-24T13:30:01.517Z,50.096722485653,14.433524608612,camea-KJ-HO,Libeň
Nábřeží Kapitána Jaroše,camea-BC_KJ-HRHO,A 1,2025-07-24T13:30:01.517Z,50.096722485653,14.433524608612,camea-KJ-HR,Malá Strana
Letňany,camea-BC_KO-LEPR,A 27,2025-07-24T13:30:01.518Z,50.1269227,14.507327,camea-BC_KO-LE,z centra
Letňany,camea-BC_KO-LEPR,A 27,2025-07-24T13:30:01.518Z,50.1269227,14.507327,camea-BC_KO-PR,centrum
Kolčavka,camea-BC_KO-VYHO,A 26,2025-07-24T13:30:01.518Z,50.109662,14.494891,camea-KO-HO,Holešovice
Kolčavka,camea-BC_KO-VYHO,A 26,2025-07-24T13:30:01.518Z,50.109662,14.494891,camea-KO-VY,Vysočany
Radotín,camea-BC_KR-RAZB,A 11,2025-07-24T13:30:01.518Z,49.9803678,14.3634271,camea-BC_KR-RA,Radotín
Radotín,camea-BC_KR-RAZB,A 11,2025-07-24T13:30:01.518Z,49.9803678,14.3634271,camea-BC_KR-ZB,Zbraslav
Mladoboleslavská,camea-BC_MB-PRVI,A267,2025-07-24T13:30:01.518Z,50.1256708,14.5346419,camea-BC_MB-PR,Prosek
