Období,Vstup,Výstup,Obrat
1.1.2020,409528,409423,818951
2.1.2020,839243,838548,1677791
3.1.2020,852336,857702,1710038
4.1.2020,492748,491636,984384
5.1.2020,451058,450907,901965
6.1.2020,1083662,1095032,2178694
7.1.2020,1083843,1095742,2179585
8.1.2020,1092338,1104242,2196580
9.1.2020,1082687,1094356,2177043
10.1.2020,1042813,1054501,2097314
11.1.2020,510055,510968,1021023
12.1.2020,447109,450025,897134
13.1.2020,1071413,1085249,2156662
14.1.2020,1093139,1110932,2204071
15.1.2020,1117043,1131261,2248304
16.1.2020,1110767,1125744,2236511
17.1.2020,1054433,1065983,2120416
18.1.2020,523975,524965,1048940
19.1.2020,444115,444700,888815
20.1.2020,1057306,1070824,2128130
21.1.2020,1102920,1118099,2221019
22.1.2020,1109383,1126665,2236048
23.1.2020,1094671,1111298,2205969
24.1.2020,1017462,1035785,2053247
25.1.2020,516722,519569,1036291
26.1.2020,449917,450283,900200
27.1.2020,1050169,1067038,2117207
28.1.2020,1064438,1081454,2145892
29.1.2020,1087231,1105365,2192596
30.1.2020,1075407,1098189,2173596
31.1.2020,947827,959664,1907491
1.2.2020,505672,508291,1013963
2.2.2020,446026,447298,893324
3.2.2020,1048319,1064610,2112929
4.2.2020,1091416,1095438,2186854
5.2.2020,1091020,1104945,2195965
6.2.2020,1080667,1098493,2179160
7.2.2020,1040147,1055625,2095772
8.2.2020,560931,564932,1125863
9.2.2020,471974,475604,947578
10.2.2020,1025726,1035840,2061566
11.2.2020,1106265,1117352,2223617
12.2.2020,1132161,1146410,2278571
13.2.2020,1132953,1146018,2278971
14.2.2020,1096432,1109026,2205458
15.2.2020,578708,581420,1160128
16.2.2020,465382,467225,932607
17.2.2020,1023133,1036925,2060058
18.2.2020,1062132,1078819,2140951
19.2.2020,1058326,1069529,2127855
20.2.2020,1049446,1065654,2115100
21.2.2020,976789,990909,1967698
22.2.2020,560709,563294,1124003
23.2.2020,461714,461546,923260
24.2.2020,1065333,1077015,2142348
25.2.2020,1083055,1093554,2176609
26.2.2020,1083427,1097024,2180451
27.2.2020,1065822,1078593,2144415
28.2.2020,992395,1004732,1997127
29.2.2020,506789,509568,1016357
1.3.2020,468231,470382,938613
2.3.2020,1051367,1064874,2116241
3.3.2020,1081591,1078165,2159756
4.3.2020,1084014,1097338,2181352
5.3.2020,1061144,1074309,2135453
6.3.2020,1012321,1023378,2035699
7.3.2020,502440,502339,1004779
8.3.2020,458816,461727,920543
9.3.2020,1022407,1037051,2059458
10.3.2020,1009287,1021603,2030890
11.3.2020,847459,838058,1685517
12.3.2020,739409,747202,1486611
13.3.2020,587444,592863,1180307
14.3.2020,232619,231948,464567
15.3.2020,179701,177306,357007
16.3.2020,309390,310903,620293
17.3.2020,221588,221786,443374
18.3.2020,217571,217526,435097
19.3.2020,201944,202030,403974
20.3.2020,202035,201069,403104
21.3.2020,107342,105935,213277
22.3.2020,90266,89243,179509
23.3.2020,208524,208487,417011
24.3.2020,203083,203661,406744
25.3.2020,211925,211661,423586
26.3.2020,204222,205661,409883
27.3.2020,203534,203859,407393
28.3.2020,117414,116828,234242
29.3.2020,93054,92636,185690
30.3.2020,217300,218271,435571
31.3.2020,210781,211559,422340
1.4.2020,220033,221418,441451
2.4.2020,215596,216763,432359
3.4.2020,209134,209541,418675
4.4.2020,117930,117420,235350
