date,den,Tramvaje,Autobusy,Metro,vše
2021-01-01,pátek,245202,207847,409528,862577
2021-01-02,sobota,251485,221251,839243,1311979
2021-01-03,neděle,243140,219564,857702,1320406
2021-01-04,pondělí,496796,445864,492748,1435408
2021-01-05,úterý,484201,439471,451058,1374730
2021-01-06,středa,492332,439127,1095032,2026491
2021-01-07,čtvrtek,486279,438937,1095742,2020958
2021-01-08,pátek,486581,415693,1104242,2006516
2021-01-09,sobota,248398,222932,1094356,1565686
2021-01-10,neděle,246166,219736,1054501,1520403
2021-01-11,pondělí,537011,460817,510968,1508796
2021-01-12,úterý,542000,467233,450025,1459258
2021-01-13,středa,541869,471365,1085249,2098483
2021-01-14,čtvrtek,569082,457392,1110932,2137406
2021-01-15,pátek,515857,430912,1131261,2078030
2021-01-16,sobota,284541,235683,1125744,1645968
2021-01-17,neděle,271000,233617,1065983,1570600
2021-01-18,pondělí,505369,450894,524965,1481228
2021-01-19,úterý,543784,461287,444700,1449771
2021-01-20,středa,565764,485130,1070824,2121718
2021-01-21,čtvrtek,519642,463849,1118099,2101590
2021-01-22,pátek,531011,446607,1126665,2104283
2021-01-23,sobota,282882,242565,1111298,1636745
2021-01-24,neděle,271892,231925,1035785,1539602
2021-01-25,pondělí,560721,475927,519569,1556217
2021-01-26,úterý,497917,452282,450283,1400482
2021-01-27,středa,562105,485540,1067038,2114683
2021-01-28,čtvrtek,526601,466935,1081454,2074990
2021-01-29,pátek,484419,394484,1105365,1984268
2021-01-30,sobota,281053,242770,1098189,1622012
2021-01-31,neděle,280361,237964,959664,1477989
2021-02-01,pondělí,539104,485970,508291,1533365
2021-02-02,úterý,557779,467159,447298,1472236
2021-02-03,středa,539054,473522,1064610,2077186
2021-02-04,čtvrtek,562582,491173,1095438,2149193
2021-02-05,pátek,528983,450438,1104945,2084366
2021-02-06,sobota,281291,245587,1098493,1625371
2021-02-07,neděle,278890,236761,1055625,1571276
2021-02-08,pondělí,536806,496760,564932,1598498
2021-02-09,úterý,552965,481204,475604,1509773
2021-02-10,středa,579534,486670,1035840,2102044
2021-02-11,čtvrtek,568213,470610,1117352,2156175
2021-02-12,pátek,519036,447213,1146410,2112659
2021-02-13,sobota,289767,248380,1146018,1684165
2021-02-14,neděle,284107,243335,1109026,1636468
2021-02-15,pondělí,547620,470548,581420,1599588
2021-02-16,úterý,531083,470367,467225,1468675
2021-02-17,středa,558389,486325,1036925,2081639
2021-02-18,čtvrtek,533103,465226,1078819,2077148
2021-02-19,pátek,510969,446253,1069529,2026751
2021-02-20,sobota,279195,243163,1065654,1588012
2021-02-21,neděle,273810,235274,990909,1499993
2021-02-22,pondělí,529864,457921,563294,1551079
2021-02-23,úterý,544171,455091,461714,1460976
2021-02-24,středa,546470,461255,1077015,2084740
2021-02-25,čtvrtek,524427,448427,1093554,2066408
2021-02-26,pátek,467748,418633,1097024,1983405
2021-02-27,sobota,273235,230628,1078593,1582456
2021-02-28,neděle,272086,228961,1004732,1505779
2021-03-01,pondělí,445075,383286,509568,1337929
2021-03-02,úterý,410421,377333,470382,1258136
2021-03-03,středa,453773,381296,1064874,1899943
2021-03-04,čtvrtek,426299,377236,1081591,1885126
2021-03-05,pátek,407294,364936,1097338,1869568
2021-03-06,sobota,226887,190648,1074309,1491844
2021-03-07,neděle,222538,188667,1023378,1434583
2021-03-08,pondělí,467005,394080,502440,1363525
2021-03-09,úterý,452651,385690,461727,1300068
2021-03-10,středa,478535,408420,1037051,1924006
2021-03-11,čtvrtek,467312,394084,1021603,1882999
2021-03-12,pátek,451550,393638,847459,1692647
2021-03-13,sobota,239268,204210,747202,1190680
2021-03-14,neděle,233656,197042,592863,1023561
2021-03-15,pondělí,455501,401727,232619,1089847
2021-03-16,úterý,461005,400526,179701,1041232
2021-03-17,středa,469339,404296,310903,1184538
2021-03-18,čtvrtek,450620,406407,221786,1078813
2021-03-19,pátek,410459,396130,217571,1024160
2021-03-20,sobota,234670,203204,202030,639904
2021-03-21,neděle,230503,202148,202035,634686
2021-03-22,pondělí,499436,425522,107342,1032300
2021-03-23,úterý,473397,408755,90266,972418
2021-03-24,středa,499311,425855,208524,1133690
2021-03-25,čtvrtek,500812,433788,203661,1138261
2021-03-26,pátek,516790,427410,211925,1156125
2021-03-27,sobota,258395,216894,205661,680950
2021-03-28,neděle,250406,213705,203859,667970
2021-03-29,pondělí,522718,440619,117414,1080751
2021-03-30,úterý,548095,460166,93054,1101315
2021-03-31,středa,594107,468185,218271,1280563
2021-04-01,čtvrtek,573383,469928,211559,1254870
2021-04-02,pátek,297054,234964,221418,753436
2021-04-03,sobota,286692,234093,216763,737548
2021-04-04,neděle,286692,230083,209541,726316
2021-04-05,pondělí,274048,220310,117930,612288
2021-04-06,úterý,490221,428490,107691,1026402
2021-04-07,středa,522072,451147,234847,1208066
2021-04-08,čtvrtek,523860,444640,232646,1201146
2021-04-09,pátek,526312,447514,245077,1218903
2021-04-10,sobota,263156,225574,245451,734181
2021-04-11,neděle,261930,223757,144243,629930
2021-04-12,pondělí,542682,467735,129147,1139564
2021-04-13,úterý,595989,489535,112354,1197878
2021-04-14,středa,611931,501913,95555,1209399
2021-04-15,čtvrtek,592923,494275,249509,1336707
2021-04-16,pátek,526556,458686,267505,1252747
2021-04-17,sobota,305966,250957,264921,821844
2021-04-18,neděle,297995,247138,257537,802670
2021-04-19,pondělí,577024,497921,152258,1227203
2021-04-20,úterý,626897,514625,117112,1258634
2021-04-21,středa,627718,522158,277794,1427670
2021-04-22,čtvrtek,606412,514732,281510,1402654
2021-04-23,pátek,645390,481120,298391,1424901
2021-04-24,sobota,322695,261079,295799,879573
2021-04-25,neděle,313859,257366,284477,855702
2021-04-26,pondělí,621352,532073,162403,1315828
2021-04-27,úterý,646731,537272,149050,1333053
2021-04-28,středa,679611,543292,343867,1566770
2021-04-29,čtvrtek,647601,526528,345575,1519704
2021-04-30,pátek,644071,504599,347590,1496260
2021-05-01,sobota,339806,271646,354292,965744
2021-05-02,neděle,323801,268636,201545,793982
2021-05-03,pondělí,678821,547457,176162,1402440
2021-05-04,úterý,654875,548072,160903,1363850
2021-05-05,středa,676859,571038,388463,1636360
2021-05-06,čtvrtek,667556,540890,393024,1601470
2021-05-07,pátek,604675,500513,409839,1515027
2021-05-08,sobota,339411,285519,414333,1039263
2021-05-09,neděle,338430,274036,204390,816856
2021-05-10,pondělí,761141,595191,210646,1566978
2021-05-11,úterý,734186,592632,179082,1505900
2021-05-12,středa,703494,568092,490187,1761773
2021-05-13,čtvrtek,686922,560793,512035,1759750
2021-05-14,pátek,677983,540220,524519,1742722
2021-05-15,sobota,380571,297596,506562,1184729
2021-05-16,neděle,367093,296316,478382,1141791
2021-05-17,pondělí,735582,618187,279538,1633307
2021-05-18,úterý,760935,626931,238660,1626526
2021-05-19,středa,792663,640499,550689,1983851
2021-05-20,čtvrtek,770723,655933,562236,1988892
2021-05-21,pátek,710914,607637,570472,1889023
2021-05-22,sobota,396332,327967,566417,1290716
2021-05-23,neděle,385362,320250,518912,1224524
2021-05-24,pondělí,815163,670904,240089,1726156
2021-05-25,úterý,778927,670869,248024,1697820
2021-05-26,středa,778312,678592,593849,2050753
2021-05-27,čtvrtek,800459,671850,623069,2095378
2021-05-28,pátek,744473,629994,653434,2027901
2021-05-29,sobota,407582,339296,625566,1372444
2021-05-30,neděle,400230,335925,594438,1330593
2021-05-31,pondělí,795596,695132,332970,1823698
2021-06-01,úterý,846660,716912,254467,1818039
2021-06-02,středa,840027,725314,679582,2244923
2021-06-03,čtvrtek,808321,699876,694517,2202714
2021-06-04,pátek,739727,654882,703263,2097872
2021-06-05,sobota,423330,362657,683662,1469649
2021-06-06,neděle,420014,358456,622801,1401271
2021-06-07,pondělí,809025,680210,325558,1814793
2021-06-08,úterý,874389,704351,275444,1854184
2021-06-09,středa,851703,706726,699258,2257687
2021-06-10,čtvrtek,869436,707819,727921,2305176
2021-06-11,pátek,777230,644930,742471,2164631
2021-06-12,sobota,437195,353910,733898,1525003
2021-06-13,neděle,434718,353363,690654,1478735
2021-06-14,pondělí,830583,723787,366117,1920487
2021-06-15,úterý,864407,727701,276898,1869006
2021-06-16,středa,849115,743474,742943,2335532
2021-06-17,čtvrtek,819031,694065,773408,2286504
2021-06-18,pátek,737682,649885,781848,2169415
2021-06-19,sobota,432204,371737,751282,1555223
2021-06-20,neděle,424558,363851,683796,1472205
2021-06-21,pondělí,784493,664327,341309,1790129
2021-06-22,úterý,804590,681142,316906,1802638
2021-06-23,středa,870690,702680,767534,2340904
2021-06-24,čtvrtek,851544,699217,809457,2360218
2021-06-25,pátek,771874,618541,804595,2195010
2021-06-26,sobota,435345,351340,794136,1580821
2021-06-27,neděle,425772,349609,731495,1506876
2021-06-28,pondělí,829732,700618,390418,1920768
2021-06-29,úterý,877633,692472,335940,1906045
2021-06-30,středa,917199,705885,739421,2362505
2021-07-01,čtvrtek,754795,592102,798160,2145057
2021-07-02,pátek,658034,504737,763890,1926661
2021-07-03,sobota,384945,301972,708508,1395425
2021-07-04,neděle,329017,252369,629155,1210541
2021-07-05,pondělí,329017,252369,320730,902116
2021-07-06,úterý,377398,296051,267692,941141
2021-07-07,středa,710961,519066,290459,1520486
2021-07-08,čtvrtek,669850,509287,630277,1809414
2021-07-09,pátek,642538,478815,661101,1782454
2021-07-10,sobota,369850,290130,635284,1295264
2021-07-11,neděle,362453,284327,587250,1234030
2021-07-12,pondělí,734862,549350,303961,1588173
2021-07-13,úterý,694962,559877,289838,1544677
2021-07-14,středa,729990,549187,669148,1948325
2021-07-15,čtvrtek,727708,550699,709314,1987721
2021-07-16,pátek,656652,502463,707519,1866634
2021-07-17,sobota,364995,279939,684440,1329374
2021-07-18,neděle,363854,275350,625946,1265150
2021-07-19,pondělí,684725,555962,354804,1595491
2021-07-20,úterý,701023,568850,316820,1586693
2021-07-21,středa,696257,582860,668353,1947470
2021-07-22,čtvrtek,681578,552562,687143,1921283
2021-07-23,pátek,626724,505104,706910,1838738
2021-07-24,sobota,350512,291430,674874,1316816
2021-07-25,neděle,348129,284425,610330,1242884
2021-07-26,pondělí,647386,543010,341377,1531773
2021-07-27,úterý,681888,552056,281655,1515599
2021-07-28,středa,679833,552003,654356,1886192
2021-07-29,čtvrtek,694094,554710,646581,1895385
2021-07-30,pátek,641730,502359,678959,1823048
2021-07-31,sobota,347047,277355,657148,1281550
2021-08-01,neděle,340944,276028,594479,1211451
2021-08-02,pondělí,637318,545628,326233,1509179
2021-08-03,úterý,677797,554396,289690,1521883
2021-08-04,středa,685800,556374,634008,1876182
2021-08-05,čtvrtek,643895,528725,667935,1840555
2021-08-06,pátek,635770,499735,705210,1840715
2021-08-07,sobota,342900,278187,669555,1290642
2021-08-08,neděle,338899,277198,602361,1218458
2021-08-09,pondělí,656755,553420,335802,1545977
2021-08-10,úterý,658067,581748,304631,1544446
2021-08-11,středa,680456,585791,635771,1902018
2021-08-12,čtvrtek,664373,552398,660788,1877559
2021-08-13,pátek,608411,517111,675590,1801112
2021-08-14,sobota,340228,292896,648851,1281975
2021-08-15,neděle,332187,290874,606752,1229813
2021-08-16,pondělí,683842,533819,360475,1578136
2021-08-17,úterý,752377,556191,336703,1645271
2021-08-18,středa,712290,579380,676232,1967902
2021-08-19,čtvrtek,727541,548631,690307,1966479
2021-08-20,pátek,665883,497898,706670,1870451
2021-08-21,sobota,376189,289690,686240,1352119
2021-08-22,neděle,363771,278096,604685,1246552
2021-08-23,pondělí,687629,565897,335261,1588787
2021-08-24,úterý,711264,567671,328713,1607648
2021-08-25,středa,758926,609923,695733,2064582
2021-08-26,čtvrtek,714868,575390,728991,2019249
2021-08-27,pátek,663928,544099,730710,1938737
2021-08-28,sobota,379463,304962,709989,1394414
2021-08-29,neděle,357434,283836,656167,1297437
2021-08-30,pondělí,782596,620876,352857,1756329
2021-08-31,úterý,758882,622385,318204,1699471
2021-09-01,středa,907024,736651,738956,2382631
2021-09-02,čtvrtek,903830,735057,818495,2457382
2021-09-03,pátek,828889,678048,833095,2340032
2021-09-04,sobota,453512,368326,815528,1637366
2021-09-05,neděle,451915,367529,743706,1563150
2021-09-06,pondělí,836181,726226,376079,1938486
2021-09-07,úterý,912080,730132,335734,1977946
2021-09-08,středa,948135,736862,790467,2475464
2021-09-09,čtvrtek,861525,726241,809134,2396900
2021-09-10,pátek,811661,675844,813055,2300560
2021-09-11,sobota,474068,368431,764772,1607271
2021-09-12,neděle,456040,365066,714586,1535692
2021-09-13,pondělí,882207,737418,363662,1983287
2021-09-14,úterý,863122,748694,329726,1941542
2021-09-15,středa,950434,754073,767233,2471740
2021-09-16,čtvrtek,909273,714301,784361,2407935
2021-09-17,pátek,834603,696291,790287,2321181
2021-09-18,sobota,475217,377037,764291,1616545
2021-09-19,neděle,454637,374347,717605,1546589
2021-09-20,pondělí,944534,739027,360952,2044513
2021-09-21,úterý,976139,730624,324766,2031529
2021-09-22,středa,991520,766976,729923,2488419
2021-09-23,čtvrtek,944231,767018,739858,2451107
2021-09-24,pátek,864943,689262,748972,2303177
2021-09-25,sobota,495760,383509,736582,1615851
2021-09-26,neděle,488070,383488,660269,1531827
2021-09-27,pondělí,724330,580376,291719,1596425
2021-09-28,úterý,495760,383509,287129,1166398
2021-09-29,středa,1067291,781816,260263,2109370
2021-09-30,čtvrtek,1006767,791009,748494,2546270
2021-10-01,pátek,928355,741228,771781,2441364
2021-10-02,sobota,533646,395505,743959,1673110
2021-10-03,neděle,503384,390908,704892,1599184
2021-10-04,pondělí,1005738,798381,344781,2148900
