datum,den,Tramvaje,Autobusy
1.1.2021,pátek,245202,207847
2.1.2021,sobota,251485,221251
3.1.2021,neděle,243140,219564
4.1.2021,pondělí,496796,445864
5.1.2021,úterý,484201,439471
6.1.2021,středa,492332,439127
7.1.2021,čtvrtek,486279,438937
8.1.2021,pátek,486581,415693
9.1.2021,sobota,248398,222932
10.1.2021,neděle,246166,219736
11.1.2021,pondělí,537011,460817
12.1.2021,úterý,542000,467233
13.1.2021,středa,541869,471365
14.1.2021,čtvrtek,569082,457392
15.1.2021,pátek,515857,430912
16.1.2021,sobota,284541,235683
17.1.2021,neděle,271000,233617
18.1.2021,pondělí,505369,450894
19.1.2021,úterý,543784,461287
20.1.2021,středa,565764,485130
21.1.2021,čtvrtek,519642,463849
22.1.2021,pátek,531011,446607
23.1.2021,sobota,282882,242565
24.1.2021,neděle,271892,231925
25.1.2021,pondělí,560721,475927
26.1.2021,úterý,497917,452282
27.1.2021,středa,562105,485540
28.1.2021,čtvrtek,526601,466935
29.1.2021,pátek,484419,394484
30.1.2021,sobota,281053,242770
31.1.2021,neděle,280361,237964
1.2.2021,pondělí,539104,485970
2.2.2021,úterý,557779,467159
3.2.2021,středa,539054,473522
4.2.2021,čtvrtek,562582,491173
5.2.2021,pátek,528983,450438
6.2.2021,sobota,281291,245587
7.2.2021,neděle,278890,236761
8.2.2021,pondělí,536806,496760
9.2.2021,úterý,552965,481204
10.2.2021,středa,579534,486670
11.2.2021,čtvrtek,568213,470610
12.2.2021,pátek,519036,447213
13.2.2021,sobota,289767,248380
14.2.2021,neděle,284107,243335
15.2.2021,pondělí,547620,470548
16.2.2021,úterý,531083,470367
17.2.2021,středa,558389,486325
18.2.2021,čtvrtek,533103,465226
19.2.2021,pátek,510969,446253
20.2.2021,sobota,279195,243163
21.2.2021,neděle,273810,235274
22.2.2021,pondělí,529864,457921
23.2.2021,úterý,544171,455091
24.2.2021,středa,546470,461255
25.2.2021,čtvrtek,524427,448427
26.2.2021,pátek,467748,418633
27.2.2021,sobota,273235,230628
28.2.2021,neděle,272086,228961
1.3.2021,pondělí,445075,383286
2.3.2021,úterý,410421,377333
3.3.2021,středa,453773,381296
4.3.2021,čtvrtek,426299,377236
