WSI,EG_EL_ABBREVIATION,TIME,DT,VALUE,FLAG1,QUALITY
0-203-0-11201020001,SCE,06:00,1961-01-01T06:00Z,2.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-02T06:00Z,1.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-03T06:00Z,0.0,N,0.0
0-203-0-11201020001,SCE,06:00,1961-01-04T06:00Z,0.0,N,0.0
0-203-0-11201020001,SCE,06:00,1961-01-05T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-06T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-15T06:00Z,0.0,P,0.0
0-203-0-11201020001,SCE,06:00,1961-01-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-17T06:00Z,0.0,P,0.0
0-203-0-11201020001,SCE,06:00,1961-01-18T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-19T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-20T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-21T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-22T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-23T06:00Z,0.0,P,0.0
0-203-0-11201020001,SCE,06:00,1961-01-24T06:00Z,2.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-25T06:00Z,1.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-26T06:00Z,1.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-27T06:00Z,1.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-28T06:00Z,1.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-01-29T06:00Z,0.0,N,0.0
0-203-0-11201020001,SCE,06:00,1961-01-30T06:00Z,0.0,N,0.0
0-203-0-11201020001,SCE,06:00,1961-01-31T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-01T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-02T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-03T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-04T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-05T06:00Z,3.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-06T06:00Z,1.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-07T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-08T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-09T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-10T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-11T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-12T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-13T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-14T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-15T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-16T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-17T06:00Z,0.0,,0.0
0-203-0-11201020001,SCE,06:00,1961-02-18T06:00Z,0.0,,0.0
