OBS_TYPE,WSI,BEGIN_DATE,END_DATE,EG_EL_ABBREVIATION,NAME,UN_DESCRIPTION,HEIGHT,SCHEDULE,
DLY,0-20000-0-11406,1865-06-01T00:00Z,1919-12-31T23:59Z,TMA,Teplota max,°C,2,"21:00",
DLY,0-20000-0-11406,1863-10-01T00:00Z,1919-12-31T23:59Z,T,Teplota,°C,2,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1865-06-01T00:00Z,1919-12-31T23:59Z,TMI,Teplota min,°C,2,"21:00",
DLY,0-20000-0-11406,1933-05-07T00:00Z,1938-04-30T23:59Z,SSV,Sluneční svit,hod,2,"00:00",
DLY,0-20000-0-11406,1943-06-01T00:00Z,1945-01-31T23:59Z,SSV,Sluneční svit,hod,2,"00:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,1960-11-30T23:59Z,P,Tlak vzduchu,hPa,1,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1956-06-01T00:00Z,1960-12-31T23:59Z,SSV,Sluneční svit,hod,2,"00:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,1960-12-31T23:59Z,D10,Směr větru des,stupně/10,10,"07:00,14:00,21:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,1960-12-31T23:59Z,F,Rychlost větru,m/s,10,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1959-11-01T00:00Z,1981-12-31T23:59Z,Fmax,Max rychlost,m/s,10,"00:00",
DLY,0-20000-0-11406,1982-01-01T00:00Z,1990-12-31T23:59Z,Fmax,Max rychlost,m/s,10,"00:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,1999-12-31T23:59Z,TMI,Teplota min,°C,2,"21:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,1999-12-31T23:59Z,TMA,Teplota max,°C,2,"21:00",
DLY,0-20000-0-11406,1961-01-01T00:00Z,2000-11-30T23:59Z,P,Tlak vzduchu,hPa,1,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,2000-12-31T23:59Z,SRA,Srážka,mm,1,"07:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,2000-12-31T23:59Z,H,Vlhkost relat,%,2,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1991-01-01T00:00Z,2000-12-31T23:59Z,Fmax,Max rychlost,m/s,10,"00:00",
DLY,0-20000-0-11406,1961-01-01T00:00Z,2000-12-31T23:59Z,F,Rychlost větru,m/s,10,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,2000-01-01T00:00Z,2000-12-31T23:59Z,TMI,Teplota min,°C,2,"21:00",
DLY,0-20000-0-11406,1959-11-01T00:00Z,2000-12-31T23:59Z,Dmax,Směr Fmax,stupně,10,"00:00",
DLY,0-20000-0-11406,2000-01-01T00:00Z,2000-12-31T23:59Z,TMA,Teplota max,°C,2,"21:00",
DLY,0-20000-0-11406,1959-11-01T00:00Z,2000-12-31T23:59Z,Casmax,Čas maxima,kód,10,"00:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,2000-12-31T23:59Z,T,Teplota,°C,2,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,2000-12-31T23:59Z,API30,Index předchozích srážek,mm,1,"07:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,2000-12-31T23:59Z,E,Tlak páry,hPa,2,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1961-01-01T00:00Z,2003-12-31T23:59Z,T05,Teplota půdy 5,°C,-.05,"AVG,07:00,14:00,21:00",
DLY,0-20000-0-11406,1955-01-01T00:00Z,2003-12-31T23:59Z,TPM,Teplota příz,°C,.05,"07:00",
