DT,VALUE,QUALITY
2020-01-01,7.0,0.0
2020-01-02,6.6,0.0
2020-01-03,0.1,0.0
2020-01-04,0.1,0.0
2020-01-05,5.3,0.0
2020-01-06,0.0,0.0
2020-01-07,2.3,0.0
2020-01-08,0.1,0.0
2020-01-09,0.0,0.0
2020-01-10,1.8,0.0
2020-01-11,0.2,0.0
2020-01-12,6.1,0.0
2020-01-13,0.1,0.0
2020-01-14,4.1,0.0
2020-01-15,7.0,0.0
2020-01-16,3.0,0.0
2020-01-17,6.5,0.0
2020-01-18,0.0,0.0
2020-01-19,0.7,0.0
2020-01-20,0.1,0.0
2020-01-21,2.8,0.0
2020-01-22,2.5,0.0
2020-01-23,1.2,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,4.5,0.0
2020-01-28,1.6,0.0
2020-01-29,0.2,0.0
2020-01-30,0.9,0.0
2020-01-31,0.7,0.0
2020-02-01,0.9,0.0
2020-02-02,1.2,0.0
2020-02-03,1.7,0.0
2020-02-04,2.8,0.0
2020-02-05,2.5,0.0
2020-02-06,0.0,0.0
2020-02-07,0.1,0.0
2020-02-08,8.7,0.0
2020-02-09,7.9,0.0
2020-02-10,3.9,0.0
2020-02-11,5.9,0.0
2020-02-12,3.0,0.0
2020-02-13,4.3,0.0
2020-02-14,1.3,0.0
2020-02-15,2.6,0.0
2020-02-16,0.5,0.0
2020-02-17,0.0,0.0
2020-02-18,5.7,0.0
2020-02-19,0.4,0.0
2020-02-20,1.5,0.0
2020-02-21,0.7,0.0
2020-02-22,3.5,0.0
2020-02-23,0.0,0.0
2020-02-24,1.4,0.0
2020-02-25,0.0,0.0
2020-02-26,2.1,0.0
2020-02-27,3.0,0.0
2020-02-28,1.2,0.0
2020-02-29,1.4,0.0
2020-03-01,5.2,0.0
2020-03-02,5.5,0.0
2020-03-03,0.0,0.0
2020-03-04,4.2,0.0
2020-03-05,9.1,0.0
2020-03-06,1.8,0.0
2020-03-07,0.5,0.0
2020-03-08,7.0,0.0
2020-03-09,0.3,0.0
2020-03-10,1.4,0.0
2020-03-11,0.0,0.0
2020-03-12,2.0,0.0
2020-03-13,7.5,0.0
2020-03-14,8.0,0.0
2020-03-15,10.3,0.0
2020-03-16,10.3,0.0
2020-03-17,3.5,0.0
2020-03-18,9.2,0.0
2020-03-19,0.8,0.0
2020-03-20,4.3,0.0
2020-03-21,0.0,0.0
2020-03-22,6.2,0.0
2020-03-23,11.6,0.0
2020-03-24,11.9,0.0
2020-03-25,11.7,0.0
2020-03-26,2.2,0.0
2020-03-27,11.1,0.0
2020-03-28,11.4,0.0
2020-03-29,5.5,0.0
2020-03-30,12.2,0.0
2020-03-31,5.4,0.0
2020-04-01,12.4,0.0
2020-04-02,12.4,0.0
2020-04-03,1.2,0.0
2020-04-04,4.0,0.0
2020-04-05,12.4,0.0
2020-04-06,12.6,0.0
2020-04-07,12.5,0.0
2020-04-08,12.8,0.0
2020-04-09,12.1,0.0
2020-04-10,10.0,0.0
2020-04-11,12.6,0.0
