TIME,DT,VALUE,QUALITY
AVG,2020-01-01,1.2,0.0
AVG,2020-01-02,-4.0,0.0
AVG,2020-01-03,3.5,0.0
AVG,2020-01-04,4.4,0.0
AVG,2020-01-05,1.5,0.0
AVG,2020-01-06,1.0,0.0
AVG,2020-01-07,2.1,0.0
AVG,2020-01-08,4.5,0.0
AVG,2020-01-09,7.3,0.0
AVG,2020-01-10,8.3,0.0
AVG,2020-01-11,3.1,0.0
AVG,2020-01-12,2.6,0.0
AVG,2020-01-13,4.4,0.0
AVG,2020-01-14,3.5,0.0
AVG,2020-01-15,1.2,0.0
AVG,2020-01-16,2.3,0.0
AVG,2020-01-17,0.8,0.0
AVG,2020-01-18,2.6,0.0
AVG,2020-01-19,2.9,0.0
AVG,2020-01-20,2.9,0.0
AVG,2020-01-21,-1.8,0.0
AVG,2020-01-22,1.4,0.0
AVG,2020-01-23,1.5,0.0
AVG,2020-01-24,-0.7,0.0
AVG,2020-01-25,0.3,0.0
AVG,2020-01-26,0.4,0.0
AVG,2020-01-27,4.2,0.0
AVG,2020-01-28,4.9,0.0
AVG,2020-01-29,3.3,0.0
AVG,2020-01-30,5.0,0.0
AVG,2020-01-31,11.9,0.0
AVG,2020-02-01,11.8,0.0
AVG,2020-02-02,10.2,0.0
AVG,2020-02-03,9.5,0.0
AVG,2020-02-04,3.8,0.0
AVG,2020-02-05,1.7,0.0
AVG,2020-02-06,2.4,0.0
AVG,2020-02-07,4.9,0.0
AVG,2020-02-08,3.2,0.0
AVG,2020-02-09,7.1,0.0
AVG,2020-02-10,7.8,0.0
AVG,2020-02-11,4.5,0.0
AVG,2020-02-12,2.9,0.0
AVG,2020-02-13,4.1,0.0
AVG,2020-02-14,6.8,0.0
AVG,2020-02-15,5.4,0.0
AVG,2020-02-16,9.6,0.0
AVG,2020-02-17,10.3,0.0
AVG,2020-02-18,6.5,0.0
AVG,2020-02-19,5.1,0.0
AVG,2020-02-20,5.2,0.0
AVG,2020-02-21,4.2,0.0
AVG,2020-02-22,9.7,0.0
AVG,2020-02-23,11.7,0.0
AVG,2020-02-24,5.7,0.0
AVG,2020-02-25,8.9,0.0
AVG,2020-02-26,4.7,0.0
AVG,2020-02-27,4.2,0.0
AVG,2020-02-28,2.8,0.0
AVG,2020-02-29,5.4,0.0
AVG,2020-03-01,8.2,0.0
AVG,2020-03-02,8.3,0.0
AVG,2020-03-03,4.9,0.0
AVG,2020-03-04,4.5,0.0
AVG,2020-03-05,6.7,0.0
AVG,2020-03-06,6.9,0.0
AVG,2020-03-07,4.8,0.0
AVG,2020-03-08,6.6,0.0
AVG,2020-03-09,6.7,0.0
AVG,2020-03-10,6.1,0.0
AVG,2020-03-11,9.8,0.0
AVG,2020-03-12,12.1,0.0
AVG,2020-03-13,7.6,0.0
AVG,2020-03-14,5.2,0.0
AVG,2020-03-15,5.0,0.0
AVG,2020-03-16,8.0,0.0
AVG,2020-03-17,10.1,0.0
AVG,2020-03-18,10.8,0.0
AVG,2020-03-19,11.7,0.0
AVG,2020-03-20,10.1,0.0
AVG,2020-03-21,3.3,0.0
AVG,2020-03-22,0.1,0.0
AVG,2020-03-23,0.8,0.0
AVG,2020-03-24,2.2,0.0
AVG,2020-03-25,2.5,0.0
AVG,2020-03-26,4.9,0.0
AVG,2020-03-27,11.7,0.0
AVG,2020-03-28,9.4,0.0
AVG,2020-03-29,4.2,0.0
AVG,2020-03-30,2.1,0.0
AVG,2020-03-31,1.4,0.0
AVG,2020-04-01,3.3,0.0
AVG,2020-04-02,6.8,0.0
AVG,2020-04-03,6.8,0.0
AVG,2020-04-04,9.3,0.0
AVG,2020-04-05,9.9,0.0
AVG,2020-04-06,14.3,0.0
AVG,2020-04-07,14.7,0.0
AVG,2020-04-08,14.8,0.0
AVG,2020-04-09,14.4,0.0
AVG,2020-04-10,13.1,0.0
AVG,2020-04-11,12.4,0.0
AVG,2020-04-12,15.0,0.0
AVG,2020-04-13,8.5,0.0
AVG,2020-04-14,5.0,0.0
AVG,2020-04-15,10.4,0.0
AVG,2020-04-16,15.6,0.0
AVG,2020-04-17,15.1,0.0
AVG,2020-04-18,15.2,0.0
AVG,2020-04-19,11.2,0.0
AVG,2020-04-20,10.7,0.0
AVG,2020-04-21,12.0,0.0
AVG,2020-04-22,12.7,0.0
AVG,2020-04-23,15.0,0.0
AVG,2020-04-24,16.0,0.0
AVG,2020-04-25,9.6,0.0
AVG,2020-04-26,11.8,0.0
AVG,2020-04-27,15.9,0.0
AVG,2020-04-28,18.5,0.0
AVG,2020-04-29,13.4,0.0
AVG,2020-04-30,15.5,0.0
AVG,2020-05-01,13.1,0.0
AVG,2020-05-02,10.6,0.0
AVG,2020-05-03,11.7,0.0
AVG,2020-05-04,11.7,0.0
AVG,2020-05-05,8.5,0.0
AVG,2020-05-06,10.9,0.0
AVG,2020-05-07,13.7,0.0
