DATE,RAIN,SNOW,SUN,TEMP,WIND
2020-01-01,0.0,0.0,0.0,8.5,3.0
2020-01-02,0.0,0.0,0.0,9.4,3.7
2020-01-03,0.1,0.0,5.8,7.1,5.7
2020-01-04,0.1,0.0,0.9,5.9,8.3
2020-01-05,0.1,0.0,0.0,4.7,8.7
2020-01-06,0.0,0.0,3.8,3.6,8.0
2020-01-07,0.0,0.0,0.0,3.9,7.0
2020-01-08,2.4,0.0,0.1,4.6,5.7
2020-01-09,1.4,0.0,0.0,3.2,5.3
2020-01-10,0.1,0.0,2.2,4.9,4.7
2020-01-11,0.0,0.0,0.5,6.4,5.7
2020-01-12,0.0,0.0,3.7,7.0,7.7
2020-01-13,0.1,0.0,2.3,1.9,7.7
2020-01-14,0.0,0.0,2.1,1.7,7.0
2020-01-15,0.0,0.0,4.8,0.0,3.7
2020-01-16,0.0,0.0,2.6,-0.5,3.3
2020-01-17,0.9,1.0,0.0,2.2,4.3
2020-01-18,0.7,0.0,8.0,2.1,3.3
2020-01-19,0.1,0.0,0.0,5.1,5.3
2020-01-20,0.0,0.0,2.2,2.8,7.3
2020-01-21,0.0,0.0,0.0,2.7,5.3
2020-01-22,0.0,0.0,2.1,5.3,9.0
2020-01-23,0.0,0.0,2.1,4.4,5.0
2020-01-24,0.0,0.0,0.0,1.8,2.3
2020-01-25,0.0,0.0,0.4,0.5,1.7
2020-01-26,0.2,0.0,5.3,-1.9,2.7
2020-01-27,0.7,0.0,7.2,-2.8,2.0
2020-01-28,0.6,0.0,0.0,-1.4,2.3
2020-01-29,0.0,0.0,4.2,-1.4,3.7
2020-01-30,0.1,0.0,7.4,-3.6,3.7
2020-01-31,0.6,0.0,8.0,-5.9,5.3
2020-02-01,2.0,0.0,8.1,-8.8,3.7
2020-02-02,3.2,0.0,8.5,-10.5,2.7
2020-02-03,16.1,0.0,8.0,-11.1,1.3
2020-02-04,4.0,0.0,2.3,-10.4,2.3
2020-02-05,0.0,0.0,3.3,-11.4,2.7
2020-02-06,0.0,0.0,7.7,-12.8,2.3
2020-02-07,0.0,0.0,0.0,-11.2,3.3
2020-02-08,0.0,1.0,6.1,-8.0,1.3
2020-02-09,0.2,1.0,0.0,-7.4,2.0
2020-02-10,3.4,4.0,7.5,-10.8,2.3
2020-02-11,0.1,3.0,8.1,-12.0,2.3
2020-02-12,0.0,3.0,8.9,-11.8,1.7
2020-02-13,0.7,3.0,0.0,-6.1,3.3
2020-02-14,0.0,3.0,3.6,-2.4,3.0
2020-02-15,0.0,3.0,1.2,1.7,9.7
2020-02-16,0.0,3.0,1.7,0.2,4.7
2020-02-17,0.1,2.0,0.0,3.7,5.3
2020-02-18,0.0,0.0,1.3,4.0,3.7
2020-02-19,0.3,0.0,0.6,2.8,4.0
2020-02-20,1.2,0.0,4.3,0.5,3.3
2020-02-21,0.1,0.0,4.6,1.4,4.7
2020-02-22,0.0,0.0,3.3,3.5,4.0
2020-02-23,0.6,0.0,0.0,6.3,8.0
2020-02-24,0.6,0.0,1.0,9.2,8.3
2020-02-25,0.9,0.0,8.0,7.6,6.3
2020-02-26,0.0,0.0,1.4,3.4,5.3
2020-02-27,0.9,0.0,6.9,3.4,4.0
2020-02-28,1.9,0.0,0.0,6.6,5.0
2020-02-29,3.7,0.0,0.0,10.9,2.3
2020-03-01,0.1,0.0,0.7,10.9,2.3
2020-03-02,0.7,0.0,2.0,8.2,2.0
2020-03-03,7.8,0.0,8.9,5.3,2.0
2020-03-04,0.0,0.0,3.7,4.1,1.7
2020-03-05,2.4,0.0,9.5,4.0,2.0
2020-03-06,0.6,0.0,8.6,1.5,2.7
2020-03-07,0.8,0.0,9.1,3.0,1.7
2020-03-08,0.0,1.0,0.0,4.2,4.3
2020-03-09,0.3,0.0,8.0,4.2,2.0
2020-03-10,3.6,0.0,3.7,7.0,5.3
2020-03-11,22.4,0.0,0.1,7.1,4.0
2020-03-12,0.4,0.0,0.0,8.1,4.7
2020-03-13,0.0,0.0,0.0,7.5,3.7
2020-03-14,0.0,0.0,0.0,6.3,3.7
2020-03-15,0.0,0.0,3.6,6.4,1.7
2020-03-16,0.0,0.0,10.6,11.7,1.3
2020-03-17,0.0,0.0,10.7,14.1,2.3
2020-03-18,0.0,0.0,9.3,13.8,3.3
2020-03-19,0.0,0.0,7.7,7.3,3.3
2020-03-20,11.3,0.0,11.6,7.7,3.0
2020-03-21,1.0,0.0,11.3,11.3,1.7
2020-03-22,0.1,0.0,7.7,11.6,1.3
2020-03-23,0.0,0.0,6.9,12.7,1.0
2020-03-24,0.0,0.0,10.3,13.9,1.0
2020-03-25,0.0,0.0,11.8,13.0,3.0
2020-03-26,0.0,0.0,12.0,10.2,1.3
2020-03-27,0.0,0.0,9.7,11.7,4.3
2020-03-28,0.0,0.0,11.4,14.0,4.7
2020-03-29,0.4,0.0,0.0,9.2,5.7
2020-03-30,0.5,0.0,0.3,8.1,4.3
2020-03-31,0.1,0.0,0.9,5.7,6.3
2020-04-01,0.0,0.0,6.8,5.8,4.3
2020-04-02,0.0,0.0,2.0,8.6,3.7
2020-04-03,0.0,0.0,8.2,12.7,1.3
2020-04-04,0.0,0.0,6.9,12.9,3.3
2020-04-05,0.0,0.0,0.0,6.3,2.7
2020-04-06,0.0,0.0,0.0,5.4,2.0
2020-04-07,0.0,0.0,1.6,3.4,5.3
2020-04-08,0.0,0.0,1.1,1.7,3.7
2020-04-09,0.0,0.0,10.3,6.4,3.3
2020-04-10,0.0,0.0,1.8,11.9,4.0
2020-04-11,0.0,0.0,6.0,11.4,2.3
2020-04-12,0.1,0.0,3.8,7.6,3.3
2020-04-13,0.1,0.0,6.1,9.8,2.0
2020-04-14,0.0,0.0,8.4,10.3,3.0
2020-04-15,0.0,0.0,0.0,8.1,5.0
2020-04-16,0.0,0.0,0.0,6.2,6.0
2020-04-17,0.0,0.0,7.8,6.1,2.0
2020-04-18,7.2,0.0,9.9,8.9,2.7
2020-04-19,0.3,0.0,4.0,9.9,2.0
2020-04-20,0.0,0.0,4.1,10.3,2.3
2020-04-21,0.0,0.0,4.1,11.3,3.0
2020-04-22,0.0,0.0,3.4,10.2,3.7
2020-04-23,0.0,0.0,9.5,11.1,2.3
2020-04-24,0.0,0.0,6.2,10.3,3.7
2020-04-25,0.0,0.0,7.7,13.2,4.0
2020-04-26,0.0,0.0,13.6,18.5,3.3
2020-04-27,0.0,0.0,13.4,22.5,1.7
2020-04-28,0.9,0.0,13.4,23.5,2.0
2020-04-29,1.3,0.0,9.8,24.1,2.3
2020-04-30,2.3,0.0,13.0,22.8,3.0
2020-05-01,0.1,0.0,13.4,24.1,2.0
2020-05-02,0.3,0.0,9.8,22.3,3.0
2020-05-03,0.3,0.0,3.9,17.6,2.7
2020-05-04,1.8,0.0,10.4,17.7,1.3
2020-05-05,0.3,0.0,7.3,15.0,3.0
