date,year,month,day,weekday,weekend,holiday,school_holiday,season,lockdown_level,is_workday,RAIN,SNOW,SUN,TEMP,WIND,cyclists,Tramvaje,Autobusy,Metro
2021-01-01,2021,1,1,Friday,0,1,1,winter,0,0,0.0,0.0,1.7,3.6,3.7,5818.0,245202.0,207847.0,409528.0
2021-01-02,2021,1,2,Saturday,1,0,1,winter,0,0,1.4,0.0,4.0,4.9,5.0,4739.0,251485.0,221251.0,839243.0
2021-01-03,2021,1,3,Sunday,1,0,0,winter,0,0,0.5,0.0,0.0,5.7,8.0,3561.0,243140.0,219564.0,857702.0
2021-01-04,2021,1,4,Monday,0,0,0,winter,0,1,2.7,0.0,0.5,9.1,6.3,5525.0,496796.0,445864.0,492748.0
2021-01-05,2021,1,5,Tuesday,0,0,0,winter,0,1,0.3,0.0,0.0,7.4,3.3,6259.0,484201.0,439471.0,451058.0
2021-01-06,2021,1,6,Wednesday,0,0,0,winter,0,1,6.4,0.0,0.0,6.8,4.0,5335.0,492332.0,439127.0,1095032.0
2021-01-07,2021,1,7,Thursday,0,0,0,winter,0,1,0.0,0.0,0.0,4.8,2.0,4250.0,486279.0,438937.0,1095742.0
2021-01-08,2021,1,8,Friday,0,0,0,winter,0,1,0.1,0.0,0.0,5.8,2.7,4772.0,486581.0,415693.0,1104242.0
2021-01-09,2021,1,9,Saturday,1,0,0,winter,0,0,0.1,0.0,0.0,5.9,2.3,4519.0,248398.0,222932.0,1094356.0
2021-01-10,2021,1,10,Sunday,1,0,0,winter,0,0,0.0,0.0,0.0,3.9,4.0,4577.0,246166.0,219736.0,1054501.0
2021-01-11,2021,1,11,Monday,0,0,0,winter,0,1,0.0,1.0,1.4,-1.1,5.3,5702.0,537011.0,460817.0,510968.0
2021-01-12,2021,1,12,Tuesday,0,0,0,winter,0,1,1.1,0.0,2.9,-2.3,2.3,4397.0,542000.0,467233.0,450025.0
2021-01-13,2021,1,13,Wednesday,0,0,0,winter,0,1,0.8,0.0,0.0,-2.5,2.3,5419.0,541869.0,471365.0,1085249.0
2021-01-14,2021,1,14,Thursday,0,0,0,winter,0,1,0.0,0.0,0.0,-2.4,2.3,4012.0,569082.0,457392.0,1110932.0
2021-01-15,2021,1,15,Friday,0,0,0,winter,0,1,1.4,6.0,0.4,-2.7,1.7,3892.0,515857.0,430912.0,1131261.0
2021-01-16,2021,1,16,Saturday,1,0,0,winter,0,0,0.0,5.0,0.0,-1.7,2.0,2139.0,284541.0,235683.0,1125744.0
2021-01-17,2021,1,17,Sunday,1,0,0,winter,0,0,0.2,4.0,0.0,-2.1,4.3,2387.0,271000.0,233617.0,1065983.0
2021-01-18,2021,1,18,Monday,0,0,0,winter,0,1,0.1,10.0,0.0,-4.5,3.0,4239.0,505369.0,450894.0,524965.0
2021-01-19,2021,1,19,Tuesday,0,0,0,winter,0,1,0.1,9.0,0.3,-4.8,1.7,4777.0,543784.0,461287.0,444700.0
2021-01-20,2021,1,20,Wednesday,0,0,0,winter,0,1,0.0,9.0,0.0,-2.9,2.7,7932.0,565764.0,485130.0,1070824.0
2021-01-21,2021,1,21,Thursday,0,0,0,winter,0,1,0.0,8.0,0.0,-3.5,2.3,8272.0,519642.0,463849.0,1118099.0
2021-01-22,2021,1,22,Friday,0,0,0,winter,0,1,0.0,9.0,0.1,-4.8,1.3,12341.0,531011.0,446607.0,1126665.0
2021-01-23,2021,1,23,Saturday,1,0,0,winter,0,0,3.2,8.0,0.0,-4.1,1.0,3077.0,282882.0,242565.0,1111298.0
2021-01-24,2021,1,24,Sunday,1,0,0,winter,0,0,0.9,8.0,0.0,-4.2,2.3,4051.0,271892.0,231925.0,1035785.0
2021-01-25,2021,1,25,Monday,0,0,0,winter,0,1,0.0,8.0,0.0,-6.4,2.3,7347.0,560721.0,475927.0,519569.0
2021-01-26,2021,1,26,Tuesday,0,0,0,winter,0,1,2.3,8.0,0.0,-8.8,1.7,5067.0,497917.0,452282.0,450283.0
2021-01-27,2021,1,27,Wednesday,0,0,0,winter,0,1,0.1,7.0,0.0,-1.7,2.7,5628.0,562105.0,485540.0,1067038.0
2021-01-28,2021,1,28,Thursday,0,0,0,winter,0,1,3.6,9.0,0.0,2.5,3.0,4930.0,526601.0,466935.0,1081454.0
2021-01-29,2021,1,29,Friday,0,0,0,winter,0,1,8.3,5.0,0.0,5.0,6.3,3175.0,484419.0,394484.0,1105365.0
2021-01-30,2021,1,30,Saturday,1,0,0,winter,0,0,1.2,0.0,0.5,9.5,6.3,3575.0,281053.0,242770.0,1098189.0
2021-01-31,2021,1,31,Sunday,1,0,0,winter,0,0,0.0,0.0,4.1,7.0,6.7,7301.0,280361.0,237964.0,959664.0
2021-02-01,2021,2,1,Monday,0,0,0,winter,0,1,0.0,0.0,0.0,5.5,6.0,7370.0,539104.0,485970.0,508291.0
2021-02-02,2021,2,2,Tuesday,0,0,0,winter,0,1,0.4,0.0,0.0,3.0,5.0,6918.0,557779.0,467159.0,447298.0
2021-02-03,2021,2,3,Wednesday,0,0,0,winter,0,1,3.4,0.0,4.5,1.7,4.0,5889.0,539054.0,473522.0,1064610.0
2021-02-04,2021,2,4,Thursday,0,0,0,winter,0,1,0.0,0.0,0.1,4.4,6.3,10741.0,562582.0,491173.0,1095438.0
2021-02-05,2021,2,5,Friday,0,0,0,winter,0,1,2.7,0.0,0.4,4.6,3.7,7172.0,528983.0,450438.0,1104945.0
2021-02-06,2021,2,6,Saturday,1,0,0,winter,0,0,8.0,0.0,6.8,1.4,3.0,2105.0,281291.0,245587.0,1098493.0
2021-02-07,2021,2,7,Sunday,1,0,0,winter,0,0,11.6,0.0,0.8,0.9,2.3,1859.0,278890.0,236761.0,1055625.0
2021-02-08,2021,2,8,Monday,0,0,0,winter,0,1,2.2,0.0,1.9,-0.1,2.3,3227.0,536806.0,496760.0,564932.0
2021-02-09,2021,2,9,Tuesday,0,0,0,winter,0,1,0.1,0.0,0.4,-0.3,2.3,2488.0,552965.0,481204.0,475604.0
2021-02-10,2021,2,10,Wednesday,0,0,0,winter,0,1,0.0,0.0,2.7,-0.3,2.0,2484.0,579534.0,486670.0,1035840.0
2021-02-11,2021,2,11,Thursday,0,0,0,winter,0,1,0.0,0.0,0.0,-1.8,3.0,2258.0,568213.0,470610.0,1117352.0
2021-02-12,2021,2,12,Friday,0,0,0,winter,0,1,0.0,0.0,0.0,-1.0,2.7,2237.0,519036.0,447213.0,1146410.0
2021-02-13,2021,2,13,Saturday,1,0,0,winter,0,0,0.0,5.0,0.0,-0.8,3.7,1532.0,289767.0,248380.0,1146018.0
2021-02-14,2021,2,14,Sunday,1,0,0,winter,0,0,0.0,4.0,0.0,-0.3,1.7,1671.0,284107.0,243335.0,1109026.0
2021-02-15,2021,2,15,Monday,0,0,0,winter,0,1,2.0,2.0,0.0,1.0,1.3,2275.0,547620.0,470548.0,581420.0
2021-02-16,2021,2,16,Tuesday,0,0,0,winter,0,1,1.5,8.0,0.0,1.2,1.3,2518.0,531083.0,470367.0,467225.0
2021-02-17,2021,2,17,Wednesday,0,0,0,winter,0,1,0.4,3.0,0.0,1.6,1.7,2974.0,558389.0,486325.0,1036925.0
2021-02-18,2021,2,18,Thursday,0,0,0,winter,0,1,0.0,2.0,0.0,1.6,1.0,6193.0,533103.0,465226.0,1078819.0
2021-02-19,2021,2,19,Friday,0,0,0,winter,0,1,0.0,2.0,0.0,0.5,5.0,9507.0,510969.0,446253.0,1069529.0
2021-02-20,2021,2,20,Saturday,1,0,0,winter,0,0,0.0,2.0,1.0,-1.2,4.0,19369.0,279195.0,243163.0,1065654.0
2021-02-21,2021,2,21,Sunday,1,0,0,winter,0,0,0.0,3.0,0.4,-3.0,2.0,9937.0,273810.0,235274.0,990909.0
2021-02-22,2021,2,22,Monday,0,0,1,winter,0,1,0.0,3.0,0.0,-3.6,4.0,9702.0,529864.0,457921.0,563294.0
2021-02-23,2021,2,23,Tuesday,0,0,1,winter,0,1,0.0,11.0,0.0,-1.6,2.0,15182.0,544171.0,455091.0,461714.0
2021-02-24,2021,2,24,Wednesday,0,0,1,winter,0,1,0.0,24.0,2.3,1.6,1.7,15980.0,546470.0,461255.0,1077015.0
2021-02-25,2021,2,25,Thursday,0,0,1,winter,0,1,0.0,12.0,0.0,4.6,1.7,18656.0,524427.0,448427.0,1093554.0
2021-02-26,2021,2,26,Friday,0,0,1,winter,0,1,2.5,9.0,0.0,2.9,4.0,12408.0,467748.0,418633.0,1097024.0
2021-02-27,2021,2,27,Saturday,1,0,1,winter,3,0,0.0,4.0,0.0,2.3,2.0,8632.0,273235.0,230628.0,1078593.0
2021-02-28,2021,2,28,Sunday,1,0,1,winter,3,0,0.0,0.0,0.0,3.2,1.3,20580.0,272086.0,228961.0,1004732.0
2021-03-01,2021,3,1,Monday,0,0,1,spring,3,1,0.0,0.0,0.0,2.3,4.0,11499.0,445075.0,383286.0,509568.0
2021-03-02,2021,3,2,Tuesday,0,0,1,spring,3,1,0.0,0.0,9.8,1.6,3.0,10329.0,410421.0,377333.0,470382.0
2021-03-03,2021,3,3,Wednesday,0,0,1,spring,3,1,0.0,0.0,1.8,1.4,3.0,12783.0,453773.0,381296.0,1064874.0
2021-03-04,2021,3,4,Thursday,0,0,1,spring,3,1,9.9,0.0,10.2,3.5,2.3,13533.0,426299.0,377236.0,1081591.0
2021-03-05,2021,3,5,Friday,0,0,1,spring,3,1,0.6,0.0,10.3,4.8,3.7,6569.0,407294.0,364936.0,1097338.0
2021-03-06,2021,3,6,Saturday,1,0,1,spring,3,0,0.0,0.0,9.4,6.8,1.3,23018.0,226887.0,190648.0,1074309.0
2021-03-07,2021,3,7,Sunday,1,0,1,spring,3,0,0.0,0.0,0.0,7.8,1.3,29476.0,222538.0,188667.0,1023378.0
2021-03-08,2021,3,8,Monday,0,0,0,spring,3,1,0.9,0.0,0.0,7.4,2.0,6949.0,467005.0,394080.0,502440.0
2021-03-09,2021,3,9,Tuesday,0,0,0,spring,3,1,0.0,0.0,0.0,5.1,1.0,10679.0,452651.0,385690.0,461727.0
2021-03-10,2021,3,10,Wednesday,0,0,0,spring,3,1,0.0,0.0,3.1,8.3,3.0,11423.0,478535.0,408420.0,1037051.0
2021-03-11,2021,3,11,Thursday,0,0,0,spring,3,1,0.5,0.0,0.0,-1.6,2.3,8437.0,467312.0,394084.0,1021603.0
2021-03-12,2021,3,12,Friday,0,0,0,spring,3,1,0.1,0.0,0.0,-1.8,2.7,13556.0,451550.0,393638.0,847459.0
2021-03-13,2021,3,13,Saturday,1,0,0,spring,3,0,0.0,2.0,0.0,-3.0,3.3,16726.0,239268.0,204210.0,747202.0
2021-03-14,2021,3,14,Sunday,1,0,0,spring,3,0,1.1,0.0,8.6,-2.6,4.0,17541.0,233656.0,197042.0,592863.0
2021-03-15,2021,3,15,Monday,0,0,0,spring,3,1,0.5,0.0,4.1,-2.3,3.7,8521.0,455501.0,401727.0,232619.0
2021-03-16,2021,3,16,Tuesday,0,0,0,spring,3,1,0.7,0.0,10.9,-1.1,3.0,7957.0,461005.0,400526.0,179701.0
2021-03-17,2021,3,17,Wednesday,0,0,0,spring,3,1,0.6,0.0,9.0,1.1,4.7,6691.0,469339.0,404296.0,310903.0
2021-03-18,2021,3,18,Thursday,0,0,0,spring,3,1,0.8,0.0,1.2,1.0,4.3,12239.0,450620.0,406407.0,221786.0
2021-03-19,2021,3,19,Friday,0,0,0,spring,3,1,1.8,7.0,0.3,2.4,4.0,5477.0,410459.0,396130.0,217571.0
2021-03-20,2021,3,20,Saturday,1,0,0,spring,3,0,0.0,2.0,9.6,6.5,2.7,8395.0,234670.0,203204.0,202030.0
2021-03-21,2021,3,21,Sunday,1,0,0,spring,3,0,1.4,0.0,0.2,2.0,5.0,8699.0,230503.0,202148.0,202035.0
2021-03-22,2021,3,22,Monday,0,0,0,spring,3,1,0.0,0.0,1.6,-0.6,3.0,11975.0,499436.0,425522.0,107342.0
2021-03-23,2021,3,23,Tuesday,0,0,0,spring,3,1,0.0,0.0,7.9,-3.6,5.7,11195.0,473397.0,408755.0,90266.0
2021-03-24,2021,3,24,Wednesday,0,0,0,spring,3,1,0.0,0.0,9.5,-3.2,6.0,21620.0,499311.0,425855.0,208524.0
2021-03-25,2021,3,25,Thursday,0,0,0,spring,3,1,0.0,0.0,1.2,-1.8,4.7,30418.0,500812.0,433788.0,203661.0
2021-03-26,2021,3,26,Friday,0,0,0,spring,3,1,0.0,0.0,0.0,-1.2,5.0,37626.0,516790.0,427410.0,211925.0
2021-03-27,2021,3,27,Saturday,1,0,0,spring,3,0,0.2,0.0,0.0,-1.0,3.0,19442.0,258395.0,216894.0,205661.0
2021-03-28,2021,3,28,Sunday,1,0,0,spring,3,0,0.1,0.0,0.1,1.8,2.7,37359.0,250406.0,213705.0,203859.0
